feature,gain
ps_car_11_cat,18171.751052379608
ps_reg_03,12166.462938308716
ps_car_13,11990.32736158371
ps_car_14,6422.9308133125305
ps_ind_03,4743.422353744507
ps_ind_05_cat,4266.061614990234
ps_reg_02,4158.338412761688
ps_ind_15,4150.202128410339
ps_ind_17_bin,3391.088671207428
ps_ind_01,3134.8627820014954
ps_reg_01,2790.658088207245
ps_car_01_cat,2200.633348464966
ps_car_15,2114.4287109375
sum_all_bin,1769.3227920532227
ps_car_06_cat,1683.1777720451355
ps_car_12,1524.14892911911
missing_count,1392.9258947372437
ps_ind_06_bin,1038.9353804588318
ps_car_05_cat,1021.0245127677917
ps_car_09_cat,842.3947944641113
ps_car_07_cat,838.0955185890198
ps_car_03_cat,834.8946785926819
ps_car_11,785.6538968086243
ps_ind_16_bin,764.6571393013
ps_ind_07_bin,710.3710103034973
ps_ind_04_cat,643.4361205101013
ps_ind_08_bin,514.3060922622681
ps_ind_09_bin,461.1967797279358
ps_ind_12_bin,299.8021092414856
ps_ind_18_bin,271.0592007637024
ps_ind_02_cat,183.97609186172485
ps_car_02_cat,171.4884991645813
ps_car_04_cat,165.25193786621094
ps_car_08_cat,126.37076902389526
ps_ind_10_bin,0.0
ps_ind_13_bin,0.0
ps_ind_11_bin,0.0
